bando,piattaforma,commento_p,target
storevolution,bandi online,tempistiche presentazione rendicontazione liquidazione contributo conto corrente,0
e di nuovo sport,bandi online,abbastanza intuitivo risponde esigenze società sportive colpite emergenza sanitaria,1
e di nuovo sport,bandi online,tabella rendicontazione non non_coerente non_profilo non_asd,0
faber ii ed,bandi online,risposte contrastanti call center mail ultimi provvedimento approvazione decreto novembre rendicontazione entro 18 12 faq ridottissime rispetto casistiche possono capitare,0
rinnova autoveicoli,bandi online,qualche difficoltà usare pc piattaforma solo non non_molto non_pratica,1
formazione continua vi,bandi online,troppi intoppi piattaforma errori centri formazione,0
smaltimento amianto anno 2019,bandi online,suggerirei punto domanda accanto ogni richiesta documento cliccando possa avere immediata spiegazione cosa occorre trovata difficoltà pagina precedente rendicontazione chiedeva documento cerfificato fine lavori allegato salvo accorgermi immediatamente aver inserito documento errato cancellato immediatamente inspiegabilmente sistema acquisito non non_stato non_possibile non_modificare non_andata non_avanti non_allegando non_resto non_documentazione non_inserendo non_poi non_documento non_iniziale non_fondo non_documentazione non_aggiuntiva non_auspico non_venga non_accettato non_comunque non_altra non_indicazione non_darei non_prevedere non_possibilità non_inserire non_documenti non_esempio non_allegare non_fotografie non_dovuto non_fare non_pdf non_perchè non_permetteva non_inserire non_solo non_foto non non_sufficiente non_far non_vedere non_esattamente non_lavoro non_effettuato non_resto non_molto non_semplice non_accesso non_dispobile non_sig non_gallina non_aiutato non_cortesia non_potuto non_grazie,0
rinnova autoveicoli,bandi online,integrerei possibilità parlare operatore magari pagamento evitare precipitano chiamare intasando centralino,1
sicurezza_urbana_lotto_a_2017,siage,stati riscontrati alcuni problemi durante caricamento file fase rendicontazione addirittura certo punto file caricati scomparsi dovuto ricaricarli inoltre quando riteneva aver ultimato caricamento dati rendicontazione portale non non_passava non_fase non_successiva non non_dava non_messaggi non_errore non_solo non_uscendo non_rientrando non_digitando non_salva non_poi non_comparsi non_errori non_mancanza non_allegati non_due non_sezioni non_entrambe non_volte non_dovuti non_uscire non_programma non_rientrare non_digitando non_salva non_successivamente non_portale non_consentito non_passare non_fase non_successiva,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,segnalo unica criticità necessità acquisizione progetto uompia territorialmente competente visti carichi lavoro stata abbastanza laboriosa sostanza ribadiva già contenuto certificazione,1
catalogazione del patrimonio culturale 2019,bandi online,non non_riscontrato non_problemi non_fase non_presentazione non_fase non_rendicontazione,1
lingua lombarda e patrimonio immateriale 2018,bandi online,domanda rendicontazione state gestite on line pezze giustificative caricate pdf aiutano molto snellire procedura,1
sicurezza_urbana_lotto_a_2017,siage,comprensibile fatto bene,1
garanziagiovanifaseii,bandi online,non non_possibile non_lavorare non_sito non_assolutamente non non_intuitivo non_piu non non_funziona non_premetto non_studio non_consulenza non_quindi non_abituati non_svariate non_procedure non_online non_spendo non_parole non_favore non_operatori non_numero non_verde non_perche non_gentili non_pur non non_grado non_aiutarmi non non_vedo non_bozze non_domanda non_presentare non_colpa non_sito non_volte non_fa non_cosi non_risolvere non_bisognerebbe non_aprire non_ticket non_senza non_sapere non_quando non_problema non_risolve non_volte non_domande non_devono non_essere non_presentate non_breve non_scadenza,0
adeguamento sale da spettacolo ed 2019,bandi online,sempre molto chiaro tutte fasi bando qualsiasi dubbio potessero esserci stato chiarito diversi canali assistenza disposizione,1
contributi acquisto attrezzature vvff volontari,pec-peo,bando studiato fatto modo molto buono,1
nidigratis2019,bandi online,potrebbe migliorare assistenza caso difficoltà,0
lingua lombarda e patrimonio immateriale 2018,bandi online,buona idea bando stimolo rivalutare riportare cultura dialettale contesto attualità gestione buona parte rendicontazione troppo puntato aspetti mussali documentali bando iniziale previsti esiti non non_elementi non_formalizzati non_prodotti non_mussali,1
bando accumulo anno 2017,siage,adempimenti richiesti richiedono cittadino procedure eccessivamente complesse avvalgono terminologie burocratiche corretta compernsione lessicale risulta difficile non non_professionista non_ricerca non_proprie non_pratiche non_richiede non_9 non_nove non_campi non_correttamente non_compilati non_ottenere non_risultato,0
faber i ed,bandi online,bando molto vantaggioso segnalo tuttavia tempistiche inerenti rendicontazione pò ristrette rispetto decreto approvazione risorse,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,non non_dato non_valutazione non_ottimo non_perchè non_assegnazione non_bando non_doveva non_essere non_effettuata non_richiesta non_progetto non_individualizzato non_strumenti non_compensativi non_dovrebbero non_secondo non_opinione non_essere non_già non_assegnati non_d non_ufficio non_studenti non_dsa non_richiesta non_partecipazione non_pc non_stampante non_figlio non_certificazione non_rilasciata non_neuropsichiatria,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,informazioni poco chiare preposto fatto controllare tutta documentazione ricevuta assistenza sede territoriale asstt nord milano prima inviare documentazione non non_comprendo non_possa non non_essere non_stata non_ammessa non_domanda non_mancanza non_requisiti non_tralaltro non non_specificati non_mail non_unico non_metodo non_contatto non_molto non_molto non_amareggiata non_situazione,0
legge 50 anno 2019,bandi online,chiaro facile accesso,1
promozione culturale legge 9 2017,siage,sistema siage non non_chiaro non_immediata non_interpretazione non_lento non_caricare non_documentazione non_soprattutto non_quando non_documenti non_parecchi,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,complicatorichieste ripetitive dati già noti,0
e di nuovo sport,bandi online,procedure tempistiche troppo lunghe soprattutto prova contattare qualcuno assistenza non non_risponde non_mai non_nessuno non non_supporto non_diretto non_alcune non_parti non_richieste non_poste non_maniera non_confusionaria non non_permettono non_essere non_comprensibili,0
musei 2017,siage,potrebbe migliorare portale visualizzazione pratiche far comparire titolo progetto non non_solo non_codice non_identificativo non_mettere non_disposizione non_fin non_subito non non_fine non_processo non_documenti non_linee non_guida non_relazione non_tecnica non_file non_rendiconto non_economico non_spiegare non_processi non_esempio non_bene non_segnalare non_autodichiarazione non_va non_firmata non_digitalmente,0
legge 50 anno 2019,bandi online,ottima disponibilità preparazione personale disposizione manifestazioni ottengono contributo importante riuscire avere maggiore visibilità magari interno canali web regione lombardia,1
bando accumulo anno 2017,bandi online,complessa poco chiara procedura presentazione documenti inoltre obbligo firma digitale scopre solo fine procedura,0
garanziagiovanifaseii,bandi online,criticità maggiore impossibilità effettuare stampa domanda seconda preoccupazione ancora volta pagamento contributo non non_avverrà non_tempestivamente non_caso non_primo non_bando non_attendiamo non_due non_anni non_incasso non_strumenti non_premiali non_assunzione non_giovani non_tale non_posticipo non_vanifica non_effetti non_saluti,0
rinnova autoveicoli,bandi online,solo piccolo problema allegati dovuto farmi riaprire pratica contattando servizio clienti,1
alvia,bandi online,bando eccellente pure gestione,1
nidigratis2019,bandi online,esame domande utenti dovrebbe essere molto rapida onde consentire inserire rendicontazioni complete non non_frazionate non_complicano non_gestione non_lavoro non_rapporti non_ditte non_gestiscono non_nidi non_nonchè non_utenti,1
faber ii ed,bandi online,ottima gestione informatica ottima assistenza gestione amministrativa rivedere aperture sportelli chiusure lampo,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ben strutturato comprensivo,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,certe spiegazioni trovate po contorte,1
valorizzazione_aree_archeologiche_2017,siage,gestione bando soprattutto fase compilazione iniziale non non_modo non_sapere non_documentazione non_dovrà non_essere non_fornita non_bando non non_elenco non_quindi non_lavorando non_spesso non_sotto non_scadenza non_difficile non_preparare non_documenti non_tempo non_prima non_iniziare non_compilare non_moduli non_web non_dovrebbe non_esserci non_elenco non_documenti non_dati non_fornire non_oppure non_dovrebbe non_essere non_possibilità non_salvare non_schermate non_incomplete non_procedere non_almeno non_visualizzare non_seguenti non_snellire non_grazie,0
sicurezza_urbana_lotto_a_2017,siage,pubblicizzato adeguatamente chiaro preciso definizione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,valido aiuto non non_fortunato,1
sostegno manifestazioni sportive,siage,complesso semplice gestione appesantito alcuni passaggi es indicare n assegno ecc dati possono essere verificati sede ispezione,1
bando accumulo anno 2017,bandi online,supporto società fornito sisteme accumulo specifico bando potuto inserire documenti richiesti fase partecipazione bando rendicontazione rendo conto temi tecnici pertanto necessario supporto addetti lavori poter dare risposte adeguate attiene questionario manca parte richiesta assistenza voce altro fatto caso,1
potenziamento delle organizzazioni di volontariato di protezione civile,bandi online,bando decisamente utile attività assistenza telefonica parte collega davvero ottima esauriente tutte fasi,1
e di nuovo sport,bandi online,potrebbe essere pó meno complicato,0
bando accumulo anno 2017,siage,luuuungo inyervento enel regione ok,1
sicurezza_urbana_lotto_a_2017,siage,buono generale applicativo abbastanza intuitivo bisognerebbe migliorare semplificare parte relativa rendicontazione soprattutto convenzioni polizia locale devono caricare molti documenti provenienti diversi enti,1
musei conto capitale 2019,bandi online,bando chiaro contenuti utile rispetto possibilità offerte musei adempimenti formali fase presentazione fase rendicontazione molto agili,1
bando accumulo anno 2017,siage,rendere semplice non non_addetti non_lavori,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,chiaro ben strutturato equo imporre presentazione fattura non non_preventivo non_può non_essere non_molto non_impegnativo non_qualcuno non_difficoltà non_poteva non_prevedere non_sufficiente non_presentare non_ricevuta non_congruo non_acconto non_ordine,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,facile comprendere assistenza tela ottima,1
bando accumulo anno 2017,bandi online,troppo farraginosa procedura burocraticamente complessa,0
turismoeattrattivita,siage,buono troppo complicato richieste documentazione relativa pagamenti,1
alvia,bandi online,considero molto importante regione messo disposizione aziende lombarde tipologia fondo sommato facile accesso,1
bando pro loco,bandi online,perche semplice me usare,1
impianti sportivi 2016,siage,semplicità immediatezza operazioni eseguire ottima disponibilità manifestata chiarimenti richiesti,1
rlo12019008323_arche misura b,bandi online,troppo elaborata parte giustificativi quietanze,0
